#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2025-06-19 00:00:00+00:00 2025-06-20 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
TEB,2025-06-19 11:51,-74.0562,40.8590,3.00,76.00,72.00,87.46,200.00,5.00,0.00,29.84,1010.40,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,76.00,KTEB 191151Z 20005KT 10SM CLR 24/22 A2984 RMK AO2 SLP104 T02440222 10244 20211 51003 $,null
TEB,2025-06-19 12:51,-74.0562,40.8590,3.00,81.00,71.00,71.74,260.00,7.00,0.00,29.84,1010.30,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,84.92,KTEB 191251Z 26007KT 10SM CLR 27/22 A2984 RMK AO2 SLP103 T02720217 $,null
TEB,2025-06-19 13:51,-74.0562,40.8590,3.00,83.00,72.00,69.56,null,6.00,0.00,29.81,1009.40,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,88.27,KTEB 191351Z VRB06KT 10SM CLR 28/22 A2981 RMK AO2 SLP094 T02830222 $,null
TEB,2025-06-19 14:51,-74.0562,40.8590,3.00,86.00,72.00,63.19,230.00,9.00,0.00,29.80,1009.10,10.00,null,SCT,null,null,null,3600.00,null,null,null,null,null,null,null,null,null,null,92.28,KTEB 191451Z 23009KT 10SM SCT036 30/22 A2980 RMK AO2 SLP091 T03000222 58014 $,null
TEB,2025-06-19 15:51,-74.0562,40.8590,3.00,87.00,72.00,61.21,240.00,9.00,0.00,29.79,1008.60,10.00,null,FEW,SCT,null,null,4200.00,5000.00,null,null,null,null,null,null,null,null,null,93.56,KTEB 191551Z 24009KT 10SM FEW042 SCT050 31/22 A2979 RMK AO2 SLP086 T03060222 $,null
TEB,2025-06-19 16:51,-74.0562,40.8590,3.00,91.00,72.00,53.98,200.00,11.00,0.00,29.76,1007.80,10.00,19.00,SCT,BKN,null,null,4500.00,5500.00,null,null,null,null,null,null,null,null,null,98.60,KTEB 191651Z 20011G19KT 10SM SCT045 BKN055 33/22 A2976 RMK AO2 SLP078 T03280222 $,null
TEB,2025-06-19 17:51,-74.0562,40.8590,3.00,87.00,73.00,63.31,160.00,17.00,0.00,29.75,1007.30,10.00,23.00,SCT,null,null,null,5000.00,null,null,null,null,null,null,null,null,null,null,94.46,KTEB 191751Z 16017G23KT 10SM SCT050 31/23 A2975 RMK AO2 LTG DSNT E AND SW TSE16 SLP073 T03060228 10328 20244 58018 $,null
TEB,2025-06-19 18:51,-74.0562,40.8590,3.00,88.00,70.00,55.41,170.00,10.00,0.00,29.72,1006.40,10.00,19.00,FEW,BKN,BKN,null,5000.00,7000.00,9000.00,null,null,null,null,null,null,null,null,93.15,KTEB 191851Z 17010G19KT 10SM FEW050 BKN070 BKN090 31/21 A2972 RMK AO2 LTG DSNT SW AND W SLP064 T03110211 $,null
TEB,2025-06-19 19:13,-74.0562,40.8590,3.00,87.00,70.00,57.19,180.00,6.00,T,29.71,null,10.00,17.00,FEW,SCT,BKN,null,3000.00,6500.00,8000.00,null,VCTS,null,null,null,null,null,null,91.95,KTEB 191913Z 18006G17KT 10SM VCTS FEW030 SCT065 BKN080 31/21 A2971 RMK AO2 LTG DSNT SW RAB01E12 P0000 T03060211 $,null
TEB,2025-06-19 19:23,-74.0562,40.8590,3.00,87.00,70.00,57.19,200.00,8.00,T,29.71,null,10.00,null,FEW,SCT,BKN,null,3900.00,5500.00,7500.00,null,TSRA,null,null,null,null,null,null,91.95,KTEB 191923Z 20008KT 10SM TSRA FEW039 SCT055 BKN075 31/21 A2971 RMK AO2 LTG DSNT SW RAB01E12B17 TSB17 OCNL LTG CGCCICCA TS OHD MOV NE P0000 T03060211 $,null
TEB,2025-06-19 19:32,-74.0562,40.8590,3.00,82.00,72.00,71.84,220.00,18.00,0.02,29.72,null,4.00,28.00,FEW,BKN,OVC,null,4700.00,7500.00,11000.00,null,+TSRA BR,null,null,null,28.00,200.00,2025-06-19 19:31,86.84,KTEB 191932Z 22018G28KT 4SM R06/6000VP6000FT +TSRA BR FEW047 BKN075 OVC110 28/22 A2972 RMK AO2 PK WND 20028/1931 LTG DSNT W RAB01E12B17 TSB17 OCNL LTG CGCCICCA TS OHD MOV NE P0002 T02780222 $,null
TEB,2025-06-19 19:34,-74.0562,40.8590,3.00,80.00,73.00,79.30,210.00,12.00,0.05,29.72,null,4.00,28.00,FEW,BKN,OVC,null,4500.00,6000.00,11000.00,null,+TSRA BR,null,null,null,28.00,200.00,2025-06-19 19:31,84.14,KTEB 191934Z 21012G28KT 4SM R06/5000VP6000FT +TSRA BR FEW045 BKN060 OVC110 27/23 A2972 RMK AO2 PK WND 20028/1931 LTG DSNT W RAB01E12B17 TSB17 OCNL LTG CGCCICCA TS OHD MOV NE P0005 T02670228 $,null
TEB,2025-06-19 19:51,-74.0562,40.8590,3.00,80.00,74.00,82.00,220.00,5.00,0.05,29.71,1006.00,10.00,17.00,FEW,SCT,BKN,null,3000.00,5000.00,7000.00,null,TS,null,null,null,28.00,200.00,2025-06-19 19:31,84.50,KTEB 191951Z 22005G17KT 10SM TS FEW030 SCT050 BKN070 27/23 A2971 RMK AO2 PK WND 20028/1931 LTG DSNT ALQDS RAB01E12B17E48 TSB17 SLP060 OCNL LTG CGCCICCA TS OHD MOV NE P0005 T02670233 $,null
TEB,2025-06-19 19:59,-74.0562,40.8590,3.00,81.00,72.00,74.21,240.00,5.00,0.00,29.71,null,10.00,null,SCT,SCT,BKN,null,3000.00,4400.00,7000.00,null,null,null,null,null,null,null,null,85.36,KTEB 191959Z 24005KT 10SM SCT030 SCT044 BKN070 27/22 A2971 RMK AO2 LTG DSNT NE AND SW AND NW TSE59 T02720222 $,null
TEB,2025-06-19 20:36,-74.0562,40.8590,3.00,80.00,75.00,84.79,null,3.00,T,29.70,null,6.00,null,SCT,SCT,BKN,null,6000.00,7500.00,9500.00,null,TS HZ,null,null,null,null,null,null,84.89,KTEB 192036Z VRB03KT 6SM TS HZ SCT060 SCT075 BKN095 27/24 A2970 RMK AO2 LTG DSNT NE AND E AND SW RAB23E35 TSE1959B36 FRQ LGTICCG OHD TS OHD MOV E P0000 T02670239 $,null
TEB,2025-06-19 20:51,-74.0562,40.8590,3.00,79.00,71.00,76.58,220.00,7.00,0.04,29.69,1005.50,4.00,23.00,FEW,SCT,BKN,null,5000.00,7000.00,9500.00,null,+TSRA,null,null,null,null,null,null,79.00,KTEB 192051Z 22007G23KT 4SM R06/6000VP6000FT +TSRA FEW050 SCT070 BKN095 26/22 A2969 RMK AO2 LTG DSNT NE-S RAB23E35B37 TSE1959B36 SLP055 FRQ LGT ICCCCACG OHD TS OHD MOV E P0004 60009 T02610217 56018 $,null
TEB,2025-06-19 21:06,-74.0562,40.8590,3.00,79.00,71.00,76.58,180.00,3.00,0.02,29.69,null,10.00,null,FEW,FEW,SCT,null,4600.00,7500.00,10000.00,null,null,null,null,null,null,null,null,79.00,KTEB 192106Z 18003KT 10SM FEW046 FEW075 SCT100 26/22 A2969 RMK AO2 LTG DSNT E-S RAE00 TSE00 P0002 T02610217 $,null
TEB,2025-06-19 21:51,-74.0562,40.8590,3.00,83.00,71.00,67.24,120.00,6.00,0.02,29.69,1005.20,10.00,null,FEW,null,null,null,7000.00,null,null,null,null,null,null,null,null,null,null,87.66,KTEB 192151Z 12006KT 10SM FEW070 28/22 A2969 RMK AO2 LTG DSNT E RAE00 TSE00 SLP052 P0002 T02830217 $,null
TEB,2025-06-19 22:51,-74.0562,40.8590,3.00,82.00,71.00,69.45,160.00,5.00,0.00,29.68,1005.00,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,86.32,KTEB 192251Z 16005KT 10SM CLR 28/22 A2968 RMK AO2 LTG DSNT S AND SW SLP050 T02780217 $,null
TEB,2025-06-19 23:25,-74.0562,40.8590,3.00,81.00,72.00,74.21,190.00,8.00,0.00,29.68,null,10.00,null,FEW,SCT,null,null,6000.00,10000.00,null,null,VCTS,null,null,null,null,null,null,85.36,KTEB 192325Z 19008KT 10SM VCTS FEW060 SCT100 27/22 A2968 RMK AO2 LTG DSNT SE-W T02720222 $,null
TEB,2025-06-19 23:32,-74.0562,40.8590,3.00,81.00,71.00,71.74,200.00,18.00,T,29.70,null,10.00,29.00,FEW,SCT,BKN,null,3300.00,4400.00,9500.00,null,-TSRA,null,null,null,29.00,210.00,2025-06-19 23:32,84.92,KTEB 192332Z 20018G29KT 10SM -TSRA FEW033 SCT044 BKN095 27/22 A2970 RMK AO2 PK WND 21029/2332 LTG DSNT SE-W RAB28 TSB26 PRESRR OCNL LTG CGCCICCA TS OHD MOV NE P0000 T02720217 $,null
TEB,2025-06-19 23:45,-74.0562,40.8590,3.00,75.20,69.80,83.36,250.00,7.00,0.04,29.69,null,10.00,22.00,OVC,null,null,null,1200.00,null,null,null,TSRA,null,null,null,29.00,210.00,2025-06-19 23:32,75.20,KTEB 192345Z 25007G22KT 10SM TSRA OVC012 24/21 A2969 RMK AO2 PK WND 21029/2332 WSHFT 2327 LTG DSNT E RAB28 TSB26 OCNL LTG CGCCICCA TS OHD MOV NE P0004 $,null
TEB,2025-06-19 23:51,-74.0562,40.8590,3.00,76.00,68.00,76.32,250.00,9.00,0.05,29.70,1005.60,10.00,null,OVC,null,null,null,1200.00,null,null,null,+TSRA,null,null,null,29.00,210.00,2025-06-19 23:32,76.00,KTEB 192351Z 25009KT 10SM +TSRA OVC012 24/20 A2970 RMK AO2 PK WND 21029/2332 WSHFT 2327 RAB28 TSB26 SLP056 OCNL LTG CGCCICCA TS OHD MOV NE P0005 60016 T02440200 10317 20244 53001 $,null
TEB,2025-06-19 23:58,-74.0562,40.8590,3.00,75.00,68.00,78.90,250.00,10.00,0.02,29.69,null,10.00,null,OVC,null,null,null,1700.00,null,null,null,+RA,null,null,null,null,null,null,75.00,KTEB 192358Z 25010KT 10SM +RA OVC017 24/20 A2969 RMK AO2 TSE55 P0002 T02390200 $,null
